-1	9	4	15	-1	-1	17	16	-1	-1
-1	0	0	0	3	-1	0	0	-1	-1
-1	0	0	0	2	4	0	0	4	-1
-1	-1	16	0	0	0	15	0	0	-1
-1	4	0	0	4	0	0	0	0	-1
-1	0	0	0	0	4	0	0	-1	-1
-1	0	0	3	0	0	0	4	6	-1
-1	-1	0	0	-1	0	0	0	0	-1
-1	-1	0	0	-1	-1	0	0	0	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1


-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	0	0	0	-1	14	0	0	-1	-1
11	0	0	0	0	13	0	0	-1	-1
-1	-1	7	0	0	0	4	0	0	-1
-1	3	0	0	10	0	0	0	0	-1
10	0	0	0	0	4	0	0	-1	-1
4	0	0	6	0	0	0	-1	-1	-1
-1	8	0	0	13	0	0	0	0	-1
-1	4	0	0	-1	6	0	0	0	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1



